127.0.0.1 - admin [11/Jan/2024:17:31:30 -0600] "PUT /manager/text/deploy?path=%2FWebApp&update=true HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET / HTTP/1.1" 200 11237
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /tomcat.css HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /tomcat.svg HTTP/1.1" 200 67795
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:50:34 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:51:10 -0600] "GET /WebApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:17:51:10 -0600] "GET /WebApp/ HTTP/1.1" 200 174
