17-Jan-2024 15:27:36.566 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
17-Jan-2024 15:27:36.566 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
17-Jan-2024 15:27:36.571 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 15:27:36.571 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 15:37:11.949 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 15:37:11.949 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 15:41:34.869 INFO [http-nio-8080-exec-22] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 15:41:34.870 INFO [http-nio-8080-exec-22] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 15:54:12.674 INFO [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 15:54:12.674 INFO [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 15:56:30.289 INFO [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 15:56:30.289 INFO [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 16:17:36.714 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 16:17:36.714 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 17:12:24.944 INFO [http-nio-8080-exec-61] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 17:12:24.944 INFO [http-nio-8080-exec-61] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
17-Jan-2024 17:14:12.676 INFO [http-nio-8080-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebApp2'
17-Jan-2024 17:14:12.676 INFO [http-nio-8080-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebApp2.war.tmp
