06-Feb-2024 15:56:19.368 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
06-Feb-2024 15:56:19.368 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
06-Feb-2024 15:56:19.372 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 15:56:19.373 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 16:05:38.921 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 16:05:38.921 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 16:57:53.103 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 16:57:53.103 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 17:05:01.155 INFO [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 17:05:01.155 INFO [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 17:07:18.279 INFO [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 17:07:18.279 INFO [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 17:56:38.475 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 17:56:38.476 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 18:02:54.777 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 18:02:54.777 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 18:05:31.866 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 18:05:31.866 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
06-Feb-2024 18:07:20.906 INFO [http-nio-8080-exec-71] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/WebAppCookie'
06-Feb-2024 18:07:20.907 INFO [http-nio-8080-exec-71] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\git\javaTraining\apache-tomcat-10.1.17\webapps\WebAppCookie.war.tmp
